Razao_Social;Cnpj;Mes;Ano;Barras;Descricao;Fabricante;Grupo;Total_custo;Quantidade;Valor_bruto;Valor_liquido;Valor_desconto
FARMACIA ANA TERRA LTDA;86384344000167;4;2013;7896422505567;AMBROXOL MED XPE PED 120ML;MEDLEY S/A INDUSTRIA FARMACEUTICA;DROGARIAS;20,22;2;26,90;23,43;3,47
FARMACIA ANA TERRA LTDA;86384344000167;5;2013;7896422505567;AMBROXOL MED XPE PED 120ML;MEDLEY S/A INDUSTRIA FARMACEUTICA;DROGARIAS;20,22;2;26,90;23,43;3,47
FARMACIA ANA TERRA LTDA;86384344000167;6;2013;7896422505567;AMBROXOL MED XPE PED 120ML;MEDLEY S/A INDUSTRIA FARMACEUTICA;DROGARIAS;50,55;6;80,70;70,60;10,10
FARMACIA ANA TERRA LTDA;86384344000167;2;2013;7896261000445;CATAFLAM-D 50MG 20CPR;NOVARTIS;DROGARIAS;17,56;1;24,27;21,84;2,43
FARMACIA ANA TERRA LTDA;86384344000167;3;2013;7896261000445;CATAFLAM-D 50MG 20CPR;NOVARTIS;DROGARIAS;35,12;2;48,54;47,26;1,28
FARMACIA ANA TERRA LTDA;86384344000167;4;2013;7896261000445;CATAFLAM-D 50MG 20CPR;NOVARTIS;DROGARIAS;56,01;3;77,43;73,55;3,88
FARMACIA ANA TERRA LTDA;86384344000167;5;2013;7896261000445;CATAFLAM-D 50MG 20CPR;NOVARTIS;DROGARIAS;18,67;1;25,81;25,80;0,01
FARMACIA ANA TERRA LTDA;86384344000167;2;2013;7891317000226;CARBOLITIUM CR 450MG 30CPR;EUROFARMA;DROGARIAS;55,70;2;77,00;65,44;11,56
FARMACIA ANA TERRA LTDA;86384344000167;1;2013;7891268103205;FRONTAL XR 0,5 30CPR;PFIZER;DROGARIAS;47,12;2;65,14;55,37;9,77
FARMACIA ANA TERRA LTDA;86384344000167;2;2013;7891268103205;FRONTAL XR 0,5 30CPR;PFIZER;DROGARIAS;47,12;2;65,14;60,94;4,20
FARMACIA ANA TERRA LTDA;86384344000167;1;2013;7891142126139;CELESTAMINE 20CPR;MANTECORP IND QUIMICA EFARMACEUTICA LTDA.;DROGARIAS;14,72;1;19,58;18,60;0,98
FARMACIA ANA TERRA LTDA;86384344000167;3;2013;7891142126139;CELESTAMINE 20CPR;MANTECORP IND QUIMICA EFARMACEUTICA LTDA.;DROGARIAS;29,44;2;39,16;36,07;3,09
FARMACIA ANA TERRA LTDA;86384344000167;4;2013;7891142126139;CELESTAMINE 20CPR;MANTECORP IND QUIMICA EFARMACEUTICA LTDA.;DROGARIAS;44,82;3;59,62;58,41;1,21
FARMACIA ANA TERRA LTDA;86384344000167;5;2013;7891142126139;CELESTAMINE 20CPR;MANTECORP IND QUIMICA EFARMACEUTICA LTDA.;DROGARIAS;30,76;3;61,38;58,31;3,07
FARMACIA ANA TERRA LTDA;86384344000167;6;2013;7891142126139;CELESTAMINE 20CPR;MANTECORP IND QUIMICA EFARMACEUTICA LTDA.;DROGARIAS;30,76;2;40,92;36,79;4,13
FARMACIA ANA TERRA LTDA;86384344000167;2;2013;7896049504714;TALCO TABU 100G;DANA;REVENDAS;3,43;1;8,90;8,90;0,00
FARMACIA ANA TERRA LTDA;86384344000167;6;2013;7896049504714;TALCO TABU 100G;DANA;REVENDAS;3,43;1;8,90;8,90;0,00
FARMACIA ANA TERRA LTDA;86384344000167;1;2013;7896672201547;FORTEN 10 FRASCOS 10ML;FARMALAB INDUSTRIAS QUIMICAS E FARMACEUTICAS S/A;DROGARIAS;29,54;1;39,28;39,28;0,00
FARMACIA ANA TERRA LTDA;86384344000167;2;2013;7896672201547;FORTEN 10 FRASCOS 10ML;FARMALAB INDUSTRIAS QUIMICAS E FARMACEUTICAS S/A;DROGARIAS;29,54;1;39,28;36,29;2,99
FARMACIA ANA TERRA LTDA;86384344000167;3;2013;7896672201547;FORTEN 10 FRASCOS 10ML;FARMALAB INDUSTRIAS QUIMICAS E FARMACEUTICAS S/A;DROGARIAS;59,08;2;78,56;70,71;7,85
FARMACIA ANA TERRA LTDA;86384344000167;5;2013;7896672201547;FORTEN 10 FRASCOS 10ML;FARMALAB INDUSTRIAS QUIMICAS E FARMACEUTICAS S/A;DROGARIAS;30,34;1;40,35;40,35;0,00
FARMACIA ANA TERRA LTDA;86384344000167;7;2013;7896672201547;FORTEN 10 FRASCOS 10ML;FARMALAB INDUSTRIAS QUIMICAS E FARMACEUTICAS S/A;DROGARIAS;30,34;1;40,35;36,00;4,35
FARMACIA ANA TERRA LTDA;86384344000167;7;2013;7896212420117;CONCERTA 36MG 30CP *PBM*;JANSSEN FARMACEUTICA LTDA;DROGARIAS;306,14;1;407,15;232,08;175,07
FARMACIA ANA TERRA LTDA;86384344000167;2;2013;7891010780302;RESPRIN 12CPR;HYPERMARCAS S/A;DROGARIAS;18,80;2;25,00;23,67;1,33
FARMACIA ANA TERRA LTDA;86384344000167;3;2013;7891010780302;RESPRIN 12CPR;HYPERMARCAS S/A;DROGARIAS;9,40;1;12,50;11,87;0,63
FARMACIA ANA TERRA LTDA;86384344000167;6;2013;7891010780302;RESPRIN 12CPR;HYPERMARCAS S/A;DROGARIAS;38,60;4;51,36;50,42;0,94
FARMACIA ANA TERRA LTDA;86384344000167;7;2013;7891317477141;ANDOLBA AEROSOL 43GR;EUROFARMA;DROGARIAS;16,55;1;22,00;22,00;0,00
FARMACIA ANA TERRA LTDA;86384344000167;1;2013;7896004700427;AMOXIC EMS 500MG 21CP;EMS;DROGARIAS;59,55;3;82,32;66,94;15,38
FARMACIA ANA TERRA LTDA;86384344000167;2;2013;7896004700427;AMOXIC EMS 500MG 21CP;EMS;DROGARIAS;39,70;2;54,88;46,64;8,24
FARMACIA ANA TERRA LTDA;86384344000167;3;2013;7896004700427;AMOXIC EMS 500MG 21CP;EMS;DROGARIAS;59,55;3;82,32;73,46;8,86
FARMACIA ANA TERRA LTDA;86384344000167;5;2013;7896004700427;AMOXIC EMS 500MG 21CP;EMS;DROGARIAS;42,22;2;58,36;53,59;4,77
FARMACIA ANA TERRA LTDA;86384344000167;7;2013;7896004700427;AMOXIC EMS 500MG 21CP;EMS;DROGARIAS;63,33;3;87,54;81,67;5,87
FARMACIA ANA TERRA LTDA;86384344000167;1;2013;7896070601871;PROFENID INJETAVEL 6X2ML  AMP;AVENTIS;DROGARIAS;13,31;1;18,40;17,48;0,92
FARMACIA ANA TERRA LTDA;86384344000167;5;2013;7896070601871;PROFENID INJETAVEL 6X2ML  AMP;AVENTIS;DROGARIAS;14,15;1;19,56;18,58;0,98
FARMACIA ANA TERRA LTDA;86384344000167;6;2013;7896070601871;PROFENID INJETAVEL 6X2ML  AMP;AVENTIS;DROGARIAS;28,30;2;39,12;35,17;3,95
FARMACIA ANA TERRA LTDA;86384344000167;6;2013;7891142171191;POLARAMINE CREME 30GR;MANTECORP IND QUIMICA EFARMACEUTICA LTDA.;DROGARIAS;9,94;1;13,22;13,22;0,00
FARMACIA ANA TERRA LTDA;86384344000167;1;2013;7898074617803;SPIDUFEN 600MG 10 SACHES;ZAMBOM LABORATORIOS FARMACEUTICOS S/A;DROGARIAS;19,44;1;26,87;25,49;1,38
FARMACIA ANA TERRA LTDA;86384344000167;5;2013;7898074617803;SPIDUFEN 600MG 10 SACHES;ZAMBOM LABORATORIOS FARMACEUTICOS S/A;DROGARIAS;20,66;1;28,56;28,55;0,01
FARMACIA ANA TERRA LTDA;86384344000167;7;2013;7898074617803;SPIDUFEN 600MG 10 SACHES;ZAMBOM LABORATORIOS FARMACEUTICOS S/A;DROGARIAS;20,66;1;28,56;27,00;1,56
FARMACIA ANA TERRA LTDA;86384344000167;4;2013;7896862970031;TETRAMED 500MG 4CPS;MEDQUIMICA;DROGARIAS;2,31;13;41,47;35,25;6,22
FARMACIA ANA TERRA LTDA;86384344000167;2;2013;8902220105195;RESPIDON 2MG 20 CP;TORRENT;DROGARIAS;59,67;3;82,50;82,50;0,00
FARMACIA ANA TERRA LTDA;86384344000167;4;2013;8902220105195;RESPIDON 2MG 20 CP;TORRENT;DROGARIAS;19,89;1;27,50;23,31;4,19
FARMACIA ANA TERRA LTDA;86384344000167;3;2013;7891045008402;LORAX 2MG 30CPR;WYETH;DROGARIAS;17,75;2;49,08;46,63;2,45
FARMACIA ANA TERRA LTDA;86384344000167;4;2013;7891045008402;LORAX 2MG 30CPR;WYETH;DROGARIAS;17,75;2;49,08;41,59;7,49
FARMACIA ANA TERRA LTDA;86384344000167;5;2013;7891045008402;LORAX 2MG 30CPR;WYETH;DROGARIAS;37,74;2;52,18;43,42;8,76
FARMACIA ANA TERRA LTDA;86384344000167;1;2013;7896180300251;HIGICLER COL 10ML;LATINOFARMA;DROGARIAS;9,16;1;12,18;11,57;0,61
FARMACIA ANA TERRA LTDA;86384344000167;6;2013;7896004712437;CLOBETASOL EMS PDA 30G;EMS;DROGARIAS;21,90;2;30,28;26,50;3,78
FARMACIA ANA TERRA LTDA;86384344000167;3;2013;7896004710464;ACEBROFILINA EMS XPE PED;EMS;DROGARIAS;9,55;1;13,20;9,11;4,09
FARMACIA ANA TERRA LTDA;86384344000167;4;2013;7896004710464;ACEBROFILINA EMS XPE PED;EMS;DROGARIAS;9,55;1;13,20;11,20;2,00
FARMACIA ANA TERRA LTDA;86384344000167;6;2013;7896004710464;ACEBROFILINA EMS XPE PED;EMS;DROGARIAS;20,32;2;28,08;24,54;3,54
FARMACIA ANA TERRA LTDA;86384344000167;3;2013;7896422507233;CEFALEXINA MED 500 SUS;MEDLEY S/A INDUSTRIA FARMACEUTICA;DROGARIAS;107,62;2;148,76;92,23;56,53
FARMACIA ANA TERRA LTDA;86384344000167;6;2013;7896422507233;CEFALEXINA MED 500 SUS;MEDLEY S/A INDUSTRIA FARMACEUTICA;DROGARIAS;57,21;1;79,08;54,58;24,50
FARMACIA ANA TERRA LTDA;86384344000167;1;2013;7896226101231;CALDE 60CPR;MARJAN INDUSTRIA E COMERCIO LTDA;DROGARIAS;46,18;1;61,42;58,35;3,07
FARMACIA ANA TERRA LTDA;86384344000167;3;2013;7896226101231;CALDE 60CPR;MARJAN INDUSTRIA E COMERCIO LTDA;DROGARIAS;46,18;1;61,42;58,35;3,07
FARMACIA ANA TERRA LTDA;86384344000167;5;2013;7896226101231;CALDE 60CPR;MARJAN INDUSTRIA E COMERCIO LTDA;DROGARIAS;47,43;1;63,08;59,90;3,18
FARMACIA ANA TERRA LTDA;86384344000167;7;2013;7896110003221;ABS SYM GIRL SUAV C/A 8UN;SANTHER;REVENDAS;1,31;1;1,90;1,90;0,00
FARMACIA ANA TERRA LTDA;86384344000167;2;2013;7891000056523;NESTOGENO 1 400G;NESTLE BRASIL LTDA;REVENDAS;40,11;3;52,50;52,50;0,00
FARMACIA ANA TERRA LTDA;86384344000167;3;2013;7891000056523;NESTOGENO 1 400G;NESTLE BRASIL LTDA;REVENDAS;40,11;3;53,30;53,30;0,00
FARMACIA ANA TERRA LTDA;86384344000167;4;2013;7891000056523;NESTOGENO 1 400G;NESTLE BRASIL LTDA;REVENDAS;26,74;2;35,80;35,80;0,00
FARMACIA ANA TERRA LTDA;86384344000167;5;2013;7891000056523;NESTOGENO 1 400G;NESTLE BRASIL LTDA;REVENDAS;66,85;5;89,50;89,50;0,00
FARMACIA ANA TERRA LTDA;86384344000167;6;2013;7891000056523;NESTOGENO 1 400G;NESTLE BRASIL LTDA;REVENDAS;80,22;6;107,40;107,40;0,00
FARMACIA ANA TERRA LTDA;86384344000167;7;2013;7891000056523;NESTOGENO 1 400G;NESTLE BRASIL LTDA;REVENDAS;17,00;1;19,90;19,90;0,00
FARMACIA ANA TERRA LTDA;86384344000167;1;2013;7896226500379;BACTRIM  SUS PED 100ML;PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S/A;DROGARIAS;10,71;1;14,81;14,80;0,01
FARMACIA ANA TERRA LTDA;86384344000167;3;2013;7896226500379;BACTRIM  SUS PED 100ML;PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S/A;DROGARIAS;10,71;1;14,81;14,80;0,01
FARMACIA ANA TERRA LTDA;86384344000167;4;2013;7896226500379;BACTRIM  SUS PED 100ML;PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S/A;DROGARIAS;11,39;1;15,74;14,00;1,74
FARMACIA ANA TERRA LTDA;86384344000167;5;2013;7896226500379;BACTRIM  SUS PED 100ML;PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S/A;DROGARIAS;11,39;1;15,74;15,74;0,00
FARMACIA ANA TERRA LTDA;86384344000167;7;2013;7896226500379;BACTRIM  SUS PED 100ML;PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S/A;DROGARIAS;22,78;2;31,48;29,88;1,60
FARMACIA ANA TERRA LTDA;86384344000167;1;2013;7897337704977;ARCOXIA 60MG 14CPR;MERCK S/A INDUSTRIAS QUIMICAS;DROGARIAS;54,06;1;74,73;67,00;7,73
FARMACIA ANA TERRA LTDA;86384344000167;2;2013;7897337704977;ARCOXIA 60MG 14CPR;MERCK S/A INDUSTRIAS QUIMICAS;DROGARIAS;54,06;1;74,73;63,50;11,23
FARMACIA ANA TERRA LTDA;86384344000167;4;2013;7897337704977;ARCOXIA 60MG 14CPR;MERCK S/A INDUSTRIAS QUIMICAS;DROGARIAS;165,59;3;228,90;194,49;34,41
FARMACIA ANA TERRA LTDA;86384344000167;7;2013;7897337704977;ARCOXIA 60MG 14CPR;MERCK S/A INDUSTRIAS QUIMICAS;DROGARIAS;114,94;3;238,32;202,60;35,72
FARMACIA ANA TERRA LTDA;86384344000167;1;2013;7891000018460;NAN 1 PRO 400G;NESTLE BRASIL LTDA;REVENDAS;18,92;1;23,90;23,90;0,00
FARMACIA ANA TERRA LTDA;86384344000167;3;2013;7891000018460;NAN 1 PRO 400G;NESTLE BRASIL LTDA;REVENDAS;137,12;6;169,40;163,08;6,32
FARMACIA ANA TERRA LTDA;86384344000167;4;2013;7891000018460;NAN 1 PRO 400G;NESTLE BRASIL LTDA;REVENDAS;94,56;4;111,60;111,60;0,00
FARMACIA ANA TERRA LTDA;86384344000167;5;2013;7891000018460;NAN 1 PRO 400G;NESTLE BRASIL LTDA;REVENDAS;118,20;5;139,50;139,50;0,00
FARMACIA ANA TERRA LTDA;86384344000167;1;2013;7891268402025;BENALET MEL/LIMAO CX 12UN;JANSSEN FARMACEUTICA LTDA;DROGARIAS;29,44;4;39,16;37,76;1,40
FARMACIA ANA TERRA LTDA;86384344000167;2;2013;7891268402025;BENALET MEL/LIMAO CX 12UN;JANSSEN FARMACEUTICA LTDA;DROGARIAS;22,08;3;29,37;28,43;0,94
FARMACIA ANA TERRA LTDA;86384344000167;3;2013;7891268402025;BENALET MEL/LIMAO CX 12UN;JANSSEN FARMACEUTICA LTDA;DROGARIAS;22,08;3;29,37;28,88;0,49
FARMACIA ANA TERRA LTDA;86384344000167;4;2013;7891268402025;BENALET MEL/LIMAO CX 12UN;JANSSEN FARMACEUTICA LTDA;DROGARIAS;37,20;5;49,47;48,58;0,89
FARMACIA ANA TERRA LTDA;86384344000167;5;2013;7891268402025;BENALET MEL/LIMAO CX 12UN;JANSSEN FARMACEUTICA LTDA;DROGARIAS;75,60;10;100,50;99,83;0,67
FARMACIA ANA TERRA LTDA;86384344000167;6;2013;7891268402025;BENALET MEL/LIMAO CX 12UN;JANSSEN FARMACEUTICA LTDA;DROGARIAS;45,31;6;60,25;59,15;1,10
FARMACIA ANA TERRA LTDA;86384344000167;7;2013;7891268402025;BENALET MEL/LIMAO CX 12UN;JANSSEN FARMACEUTICA LTDA;DROGARIAS;45,30;6;60,24;60,12;0,12
FARMACIA ANA TERRA LTDA;86384344000167;1;2013;7891268402018;BENALET MENTA CX 12UN;JANSSEN FARMACEUTICA LTDA;DROGARIAS;7,36;1;9,79;9,70;0,09
FARMACIA ANA TERRA LTDA;86384344000167;2;2013;7891268402018;BENALET MENTA CX 12UN;JANSSEN FARMACEUTICA LTDA;DROGARIAS;22,08;3;29,37;28,88;0,49
FARMACIA ANA TERRA LTDA;86384344000167;3;2013;7891268402018;BENALET MENTA CX 12UN;JANSSEN FARMACEUTICA LTDA;DROGARIAS;36,80;5;48,95;47,19;1,76
FARMACIA ANA TERRA LTDA;86384344000167;4;2013;7891268402018;BENALET MENTA CX 12UN;JANSSEN FARMACEUTICA LTDA;DROGARIAS;37,60;5;49,99;48,94;1,05
FARMACIA ANA TERRA LTDA;86384344000167;5;2013;7891268402018;BENALET MENTA CX 12UN;JANSSEN FARMACEUTICA LTDA;DROGARIAS;30,24;4;40,20;39,07;1,13
FARMACIA ANA TERRA LTDA;86384344000167;7;2013;7891268402018;BENALET MENTA CX 12UN;JANSSEN FARMACEUTICA LTDA;DROGARIAS;45,30;6;60,24;59,52;0,72
FARMACIA ANA TERRA LTDA;86384344000167;1;2013;7897572002494;MERCILON CONTI 28CP;AKZO LTDA - DIVISAO ORGANON;DROGARIAS;23,91;1;33,05;25,83;7,22
FARMACIA ANA TERRA LTDA;86384344000167;3;2013;7897572002494;MERCILON CONTI 28CP;AKZO LTDA - DIVISAO ORGANON;DROGARIAS;71,73;3;99,15;81,39;17,76
FARMACIA ANA TERRA LTDA;86384344000167;4;2013;7897572002494;MERCILON CONTI 28CP;AKZO LTDA - DIVISAO ORGANON;DROGARIAS;73,03;3;100,95;84,81;16,14
FARMACIA ANA TERRA LTDA;86384344000167;5;2013;7897572002494;MERCILON CONTI 28CP;AKZO LTDA - DIVISAO ORGANON;DROGARIAS;98,24;4;135,80;114,03;21,77
FARMACIA ANA TERRA LTDA;86384344000167;7;2013;7891721104831;CEBION 1G S/ACUCAR 10CPR EFER;MERCK S/A INDUSTRIAS QUIMICAS;DROGARIAS;9,86;1;13,11;12,10;1,01
FARMACIA ANA TERRA LTDA;86384344000167;3;2013;7896641804700;HIDRAFIX 2FLAC FRAMB;ALTANA;DROGARIAS;5,63;1;7,48;7,11;0,37
FARMACIA ANA TERRA LTDA;86384344000167;4;2013;7896641804700;HIDRAFIX 2FLAC FRAMB;ALTANA;DROGARIAS;5,63;1;7,48;6,36;1,12
FARMACIA ANA TERRA LTDA;86384344000167;5;2013;7896641804700;HIDRAFIX 2FLAC FRAMB;ALTANA;DROGARIAS;5,78;1;7,69;7,69;0,00
FARMACIA ANA TERRA LTDA;86384344000167;7;2013;7896641804700;HIDRAFIX 2FLAC FRAMB;ALTANA;DROGARIAS;5,78;1;7,69;7,69;0,00
FARMACIA ANA TERRA LTDA;86384344000167;1;2013;7896026300216;ATROVENT 20ML INALACAO *FP*;BOEHRINGER-OTC;DROGARIAS;12,50;5;15,00;14,99;0,01
FARMACIA ANA TERRA LTDA;86384344000167;2;2013;7896026300216;ATROVENT 20ML INALACAO *FP*;BOEHRINGER-OTC;DROGARIAS;70,56;6;84,66;80,48;4,18
FARMACIA ANA TERRA LTDA;86384344000167;3;2013;7896026300216;ATROVENT 20ML INALACAO *FP*;BOEHRINGER-OTC;DROGARIAS;16,00;4;19,20;19,20;0,00
FARMACIA ANA TERRA LTDA;86384344000167;4;2013;7896026300216;ATROVENT 20ML INALACAO *FP*;BOEHRINGER-OTC;DROGARIAS;50,29;12;67,55;66,67;0,88
FARMACIA ANA TERRA LTDA;86384344000167;5;2013;7896026300216;ATROVENT 20ML INALACAO *FP*;BOEHRINGER-OTC;DROGARIAS;33,60;13;62,40;60,56;1,84
FARMACIA ANA TERRA LTDA;86384344000167;6;2013;7896026300216;ATROVENT 20ML INALACAO *FP*;BOEHRINGER-OTC;DROGARIAS;26,23;12;37,80;37,65;0,15
FARMACIA ANA TERRA LTDA;86384344000167;7;2013;7896026300216;ATROVENT 20ML INALACAO *FP*;BOEHRINGER-OTC;DROGARIAS;29,82;15;45,00;44,96;0,04
FARMACIA ANA TERRA LTDA;86384344000167;1;2013;7896014123865;COND ELSEVE ANTI QUEBRA 200ML;PROGOSA PRODUTOS DE BELEZA LTDA.;REVENDAS;13,40;2;14,00;8,99;5,01
FARMACIA ANA TERRA LTDA;86384344000167;2;2013;7896014123865;COND ELSEVE ANTI QUEBRA 200ML;PROGOSA PRODUTOS DE BELEZA LTDA.;REVENDAS;20,10;3;21,00;15,64;5,36
FARMACIA ANA TERRA LTDA;86384344000167;1;2013;7895800201503;TRIDENT MORANGO 5UN;ADANS;REVENDAS;3,00;4;6,00;5,98;0,02
FARMACIA ANA TERRA LTDA;86384344000167;2;2013;7895800201503;TRIDENT MORANGO 5UN;ADANS;REVENDAS;6,00;10;15,00;14,71;0,29
FARMACIA ANA TERRA LTDA;86384344000167;3;2013;7895800201503;TRIDENT MORANGO 5UN;ADANS;REVENDAS;8,25;13;19,50;19,50;0,00
FARMACIA ANA TERRA LTDA;86384344000167;4;2013;7895800201503;TRIDENT MORANGO 5UN;ADANS;REVENDAS;12,00;18;27,00;26,99;0,01
FARMACIA ANA TERRA LTDA;86384344000167;5;2013;7895800201503;TRIDENT MORANGO 5UN;ADANS;REVENDAS;6,75;10;15,00;15,00;0,00
FARMACIA ANA TERRA LTDA;86384344000167;6;2013;7895800201503;TRIDENT MORANGO 5UN;ADANS;REVENDAS;9,00;13;19,50;19,24;0,26
FARMACIA ANA TERRA LTDA;86384344000167;7;2013;7895800201503;TRIDENT MORANGO 5UN;ADANS;REVENDAS;10,50;15;22,50;22,50;0,00
FARMACIA ANA TERRA LTDA;86384344000167;1;2013;7891051037632;ESC DENT ORAL-B IN PLUS 35 MACIA;GILLETTE DO BRASIL LTDA.;REVENDAS;5,86;1;8,50;8,44;0,06
FARMACIA ANA TERRA LTDA;86384344000167;3;2013;7891051037632;ESC DENT ORAL-B IN PLUS 35 MACIA;GILLETTE DO BRASIL LTDA.;REVENDAS;5,86;1;8,50;8,50;0,00
FARMACIA ANA TERRA LTDA;86384344000167;5;2013;7891051037632;ESC DENT ORAL-B IN PLUS 35 MACIA;GILLETTE DO BRASIL LTDA.;REVENDAS;23,44;4;34,00;33,50;0,50
FARMACIA ANA TERRA LTDA;86384344000167;7;2013;7891051037632;ESC DENT ORAL-B IN PLUS 35 MACIA;GILLETTE DO BRASIL LTDA.;REVENDAS;5,86;1;8,50;8,50;0,00
FARMACIA ANA TERRA LTDA;86384344000167;1;2013;7891051037656;ESC DENT ORAL-B IN PLUS 40 MACIA;GILLETTE DO BRASIL LTDA.;REVENDAS;29,30;5;42,50;42,40;0,10
FARMACIA ANA TERRA LTDA;86384344000167;2;2013;7891051037656;ESC DENT ORAL-B IN PLUS 40 MACIA;GILLETTE DO BRASIL LTDA.;REVENDAS;11,72;2;17,00;16,67;0,33
FARMACIA ANA TERRA LTDA;86384344000167;3;2013;7891051037656;ESC DENT ORAL-B IN PLUS 40 MACIA;GILLETTE DO BRASIL LTDA.;REVENDAS;5,86;1;8,50;8,33;0,17
FARMACIA ANA TERRA LTDA;86384344000167;4;2013;7891051037656;ESC DENT ORAL-B IN PLUS 40 MACIA;GILLETTE DO BRASIL LTDA.;REVENDAS;5,86;1;8,50;8,45;0,05
FARMACIA ANA TERRA LTDA;86384344000167;6;2013;7891051037656;ESC DENT ORAL-B IN PLUS 40 MACIA;GILLETTE DO BRASIL LTDA.;REVENDAS;5,86;1;8,50;8,50;0,00
FARMACIA ANA TERRA LTDA;86384344000167;7;2013;7891051037656;ESC DENT ORAL-B IN PLUS 40 MACIA;GILLETTE DO BRASIL LTDA.;REVENDAS;5,86;1;8,50;8,50;0,00
FARMACIA ANA TERRA LTDA;86384344000167;3;2013;7894916503044;CLO 10MG 20CPR;EMS;DROGARIAS;6,56;1;9,07;1,81;7,26
FARMACIA ANA TERRA LTDA;86384344000167;5;2013;7894916503044;CLO 10MG 20CPR;EMS;DROGARIAS;6,97;1;9,64;9,16;0,48
FARMACIA ANA TERRA LTDA;86384344000167;6;2013;7894916503044;CLO 10MG 20CPR;EMS;DROGARIAS;6,97;2;19,28;18,30;0,98
FARMACIA ANA TERRA LTDA;86384344000167;7;2013;7894916503044;CLO 10MG 20CPR;EMS;DROGARIAS;13,94;2;19,28;18,32;0,96
FARMACIA ANA TERRA LTDA;86384344000167;3;2013;7898040321406;GYNOPAC CR 35G+7APLIC +2CPR;FARMOQUIMICA;DROGARIAS;47,08;1;62,62;50,08;12,54
FARMACIA ANA TERRA LTDA;86384344000167;3;2013;7891268105902;PLETIL AD 4CP;PFIZER;DROGARIAS;8,44;1;11,22;10,65;0,57
FARMACIA ANA TERRA LTDA;86384344000167;4;2013;7891268105902;PLETIL AD 4CP;PFIZER;DROGARIAS;8,97;1;11,93;11,90;0,03
FARMACIA ANA TERRA LTDA;86384344000167;1;2013;7896222717177;PRESER OLLA MENTA 3UN;OLLA;REVENDAS;6,81;4;13,20;13,20;0,00
FARMACIA ANA TERRA LTDA;86384344000167;2;2013;7896222717177;PRESER OLLA MENTA 3UN;OLLA;REVENDAS;4,54;2;6,60;6,59;0,01
