Razao Social;Cnpj;Mes;Ano;Barras;Descricao;Fabricante;Grupo;Total custo;Quantidade;Valor bruto;Valor liquido;Valor desconto
MR WK FCIA LTDA ME;15786984000155;2;2013;7896181902348;ANGIPRESS 50MG 28 COMP;BIOSINTETICA;ETICOS;12,32;1;14,95;14,95;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7895800300381;HALLS MENTOL LYPTUS;;CONVENIENCIAS;0,5;19;19;19;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891142171757;POLARAMINE SOL  120ML;MANTECORP;ETICOS;11,59;1;14,48;13,03;1,45
MR WK FCIA LTDA ME;15786984000155;2;2013;7896755400034;ARDRAK LIMAO SAL 12G;;LIBERADOS;3,46;1;4,95;4,95;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891106905923;FEMIANE C/21 DRG;SCHERING;ETICOS;22,22;1;29,91;23,93;5,98
MR WK FCIA LTDA ME;15786984000155;2;2013;7896862940096;ATROVEX GTS 20 ML MEDQUIMICA;MEDQUIMICA;SIMILARES;4,96;4;37,56;37,56;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896226500423;BACTRIM F SUSP C/100 ML;ROCHE CYGNUS;ETICOS;20,54;1;26,71;26,71;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896023705892;BALSAMO BRANCO 30 ML BOETTGER;CATARINENSE;ETICOS;11,95;1;14,96;14,96;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896112141938;BENEVAT CR 30G TEUTO;;SIMILARES;13,23;8;132,4;129,92;2,48
MR WK FCIA LTDA ME;15786984000155;2;2013;7896026300223;BEROTEC AEROSOL 100 MG C/10 ML;BOEHRINGER;ETICOS;13,27;1;17,9;17,9;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7897595901187;BESEROL 12 COMP;SANOFI;ETICOS;10,73;3;41,58;40,19;1,39
MR WK FCIA LTDA ME;15786984000155;2;2013;7896070601772;BI-PROFENID 150MG 10 COMP;SANOFI;ETICOS;26,82;2;69,72;69,72;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896658006913;BIOFENAC AERO 85ML;ACHE;ETICOS;16,44;1;24,05;24,05;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7898100264018;BIOVICERIN FLAC;GEYER;ETICOS;2,91;5;18,85;18,85;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896714270180;DIGESPRID GTS 20ML;NEO QUIMICA;SIMILARES;11,39;6;85,5;85,5;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896094906754;BRONZ CENOU E BRONZ FPS30 110M;;PROT SOLAR CENOURA&BRONZE;15,98;4;89,48;89,48;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896026300308;BUSCOPAN 20 DRAG;BOEHRINGER;ETICOS;7,5;1;9,72;9,72;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896026301428;BUSCOPAN CPTO 20 COMP REV;BOEHRINGER;ETICOS;8,06;7;72,8;72,8;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896026300117;BUSCOPAN CPTO GTS 20 ML;BOEHRINGER;ETICOS;7,68;5;49,85;49,85;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896026300315;BUSCOPAN GTS 20 ML;BOEHRINGER;ETICOS;8,1;1;10,48;10,48;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7795304000056;BUSCODUO  20 COMP REV;BOEHRINGER;ETICOS;12,3;2;31,86;31,86;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896026301640;BUTAZONA CALCICA 10 DRAG;BOEHRINGER;ETICOS;3,07;1;4,03;4,03;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896023700637;CAMOMILA RAULIVEIRA 150ML CATA;CATARINENSE;ETICOS;13,79;2;34,52;34,52;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891106900591;CANESTEN CR 20G;BAYER;ETICOS;9,09;1;11,35;11,35;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896336601119;CAST DA INDIA 30DRAG MAKROFARM;MAKROFARMA;SIMILARES;9,97;1;15,5;12,4;3,1
MR WK FCIA LTDA ME;15786984000155;2;2013;7896261013483;CATAFLAM 50MG 20 DRAG;NOVARTIS;ETICOS;17,69;2;46;46;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896658002205;CEFALIUM 12 COMP;ACHE;ETICOS;11,78;3;45,69;44,17;1,52
MR WK FCIA LTDA ME;15786984000155;2;2013;7896658001079;CEFALIV 12 COMP;ACHE;ETICOS;8,95;2;23,2;23,2;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896548140284;CERUMIN C/8 ML;ALCON;ETICOS;7,21;1;9,32;9,32;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7893353309912;CETOBETA CR 30G BUNKER;BUNKER;SIMILARES;20,39;2;57,42;57,42;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7893353309929;CETOBETA POM 30G BUNKER;BUNKER;SIMILARES;18,74;7;184,8;171,6;13,2
MR WK FCIA LTDA ME;15786984000155;2;2013;7896112143598;CETOCORT CR 30G TEUTO;TEUTO;SIMILARES;19,92;1;24,93;24,93;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896112143581;CETOCORT POM 30 G TEUTO;TEUTO;SIMILARES;19,8;1;24,77;21,05;3,72
MR WK FCIA LTDA ME;15786984000155;2;2013;7897595900708;CEWIN GTS 20 ML;SANOFI;ETICOS;7,31;1;9,38;9,38;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891098000682;CHA MATTE LEAO POWER 300ML;;CONVENIENCIAS;0,99;12;24;24;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896313215001;CHA SANITAS FLORES FRUTAS 22,5;;LIBERADOS;3,9;1;4,97;4,97;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891000011027;CHOC BARRA NESTLE ALPINO 170G;;NESTLE;3,16;9;40,41;40,41;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891000464908;CHOC CHARGE NESTLE 40G;;CONVENIENCIAS;0,75;23;23;23;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891000405000;CHOC SENSACAO MORANGO;;NESTLE;0,8;12;13,68;13,68;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891000010983;CHOC NESTLE CLASSIC AO LEITE;;NESTLE;3,16;7;31,43;31,43;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896006234067;CICLO 21 21 COMP;UNIAO QUIMICA;ETICOS;3,91;16;84,32;84,32;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896523216461;CIFLOGEX 12 PAST CEREJA CIMED;CIMED;SIMILARES;7,03;3;27,3;27,3;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891721000133;CITONEURIN 5000 20 DRAG;MERCK;ETICOS;33,32;1;43,17;39,72;3,45
MR WK FCIA LTDA ME;15786984000155;2;2013;7896253900128;COBAVITAL XPE 100 ML;SOLVAY FARMA;ETICOS;11,51;1;14,92;14,92;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896622300245;COLIRIO BLUMEN 20 ML;LUPER;SIMILARES;6,93;1;8,96;8,96;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896004810188;COLIRIO LEGRAND 20ML;LEGRAND;SIMILARES;7,06;7;64,05;64,05;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891800197518;COMPRESSA DE GAZE CREMER 7,5X1;;LIBERADOS;0,2;18;27;27;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896830500505;CUTISANOL GEL 100 G;MILLET ROUX;ETICOS;23,91;5;139,35;136,56;2,79
MR WK FCIA LTDA ME;15786984000155;2;2013;7896004801216;CYSTEX 24 DRAG EMS;EMS;SIMILARES;10,88;3;42,3;42,3;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896658001901;DECONGEX PLUS 12 COMP;ACHE;ETICOS;11,84;3;46,02;45,71;0,31
MR WK FCIA LTDA ME;15786984000155;2;2013;7896658001925;DECONGEX PLUS GTS 20 ML;ACHE;ETICOS;6,42;4;33,2;33,2;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896658001918;DECONGEX PLUS XAROPE 120 ML;ACHE;ETICOS;9,42;2;24,4;24,4;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896004810225;DERMOBENE CR 20G LEGRAND;;SIMILARES;7,68;1;9,6;9,6;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7897852900106;DEXAMETASONA 1MGG CREME BG 10 ;CIMED;GENERICOS;1,39;2;11,12;11,12;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896116801517;DIANE 35 21 DRAG;SCHERI BERLIME;ETICOS;14,29;3;56,7;56,7;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7897595600851;DIASEC 12 COMP QIF;HEXAL;SIMILARES;7,22;4;38,4;38,4;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896004701400;DIAZOL SUSP 60ML EMS;EMS;SIMILARES;11,54;2;29,9;26,91;2,99
MR WK FCIA LTDA ME;15786984000155;2;2013;7896714230030;NEOCOFLAN GEL 60GRS;;SIMILARES;11,58;7;103,04;103,04;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896714200217;NEOTAREN  50 MG C/20;NEO QUIMICA;SIMILARES;6,46;6;50,4;50,4;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7897595901798;DIGESAN 10 MG 20 CAPS;SANOFI;ETICOS;19;1;23,78;23,78;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7897595901767;DIGESAN PED GTS 20 ML;SANOFI;ETICOS;16,6;2;41,56;41,56;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896112141679;DIGESTIL SOLUCAO 20ML TEUTO;;SIMILARES;11,26;2;28,16;28,16;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896004706252;FLATOL 40 MG CPO;LEGRAND;SIMILARES;7,79;3;29,25;29,25;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896714270067;NEO DIMETICON GTS 10ML NEO QUI;;SIMILARES;5,67;2;15,8;15,8;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896112143253;DIMEZIN 75MG 10ML TEUTO;;SIMILARES;5,93;2;14,84;14,84;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891142142214;DIPROSALIC POM 30 G;SCHERIN PLOUGH;ETICOS;16,08;1;20,13;20,13;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891142142221;DIPROSALIC SOL;SCHERIN PLOUGH;ETICOS;19,98;1;25,01;25,01;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891142141293;DIPROSONE POM 30 G;SCHERIN PLOUGH;ETICOS;19,41;1;24,29;24,29;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896714210018;DORALGINA 20DRAG NEO QUIMICA;NEO QUIMICA;SIMILARES;11,7;9;128,7;128,7;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896714210070;DORALGINA C/4;NEO QUIMICA;SIMILARES;2,28;94;256,62;255,01;1,61
MR WK FCIA LTDA ME;15786984000155;2;2013;7896004706238;DORSPAN CPTO 20DRAG. EMS;EMS;SIMILARES;10,76;5;69,55;66,77;2,78
MR WK FCIA LTDA ME;15786984000155;2;2013;7896004706221;DORSPAN CPTO GTS EMS 20ML;EMS;SIMILARES;10,22;3;39,69;37,04;2,65
MR WK FCIA LTDA ME;15786984000155;2;2013;7896622301389;DRAMAVIT 4 COMP LUPER;LUPER;SIMILARES;0,98;25;32,5;32,5;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896641806483;DRAMIN B6 GOTAS  30ML;BYK QUIM;ETICOS;9,65;5;62,45;62,45;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7898040320867;DRAPOLENE CR 40 G;GLAXO;LIBERADOS;12,23;1;14,97;14,97;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896241270363;DRENISON CR 0,0125 30 G;BIOLAB;ETICOS;15,81;2;39,58;37,6;1,98
MR WK FCIA LTDA ME;15786984000155;2;2013;7896026300155;DULCOLAX C/20COMP;BOEHRINGER;ETICOS;3,7;1;4,77;4,77;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896026300421;EFORTIL 5MG 20 COMP;BOEHRINGER;ETICOS;2,24;1;3,02;3,02;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896023701436;ELIX PAREGORICO CATARIN. 30ML;CATARINENSE;LIBERADOS;12,13;1;8,46;8,46;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896004801902;EMISTIN ANTIALERG 20 COMP EMS;EMS;SIMILARES;19,88;1;25,3;25,3;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896714200750;RENALAPRIL 20MGRS C/30;NEO QUIMICA;SIMILARES;25,52;2;66,38;53,1;13,28
MR WK FCIA LTDA ME;15786984000155;2;2013;7896641800306;EPAREMA 20 DRAG;BYK CONSUMO;ETICOS;14,06;2;35,56;35,56;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896641800757;EPAREMA FLACONETE 10ML;BYK CONSUMO;ETICOS;1,89;9;21,42;21,42;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896641800313;EPAREMA LIQ.200ML;BYK CONSUMO;ETICOS;25,1;1;31,75;31,75;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891058260071;ESPERSON N POM 20G;SANOFI;ETICOS;18,56;1;24,14;24,14;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891721014239;EUTHYROX 100MCG 50 COMP;MERCK;ETICOS;19,07;1;25,67;25,67;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891721000874;EUTHYROX 150MG 50 COMP MERCK;MERCK;ETICOS;22,88;1;30,79;28,63;2,16
MR WK FCIA LTDA ME;15786984000155;2;2013;7896004812168;EXPEC XPE 120ML LEGRAND;;SIMILARES;16,02;5;100,3;94,28;6,02
MR WK FCIA LTDA ME;15786984000155;2;2013;7894900030013;FANTA LATA 350ML LARANJA ;;COCA COLA;1,32;15;37,5;37,5;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7894900011609;COCA COLA 600ML;;CONVENIENCIAS;2;78;273;273;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891268144086;FELDENE 20 MG 10 CAPS;PFIZER;ETICOS;15,31;1;19,82;17,84;1,98
MR WK FCIA LTDA ME;15786984000155;2;2013;7891268104028;FELDENE SUBL 20MG 10 COMP;PFIZER;ETICOS;32,5;2;84,5;76,05;8,45
MR WK FCIA LTDA ME;15786984000155;2;2013;7896658006401;FEMINA 21 COMP;ACHE;ETICOS;14,14;1;19,04;19,04;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896112143512;FENAFLAN D 50MG 20 COMP TEUTO;;SIMILARES;11,57;1;15,04;15,04;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896070600249;FENERGAN CR 30 G;;ETICOS;9,18;1;11,87;11,87;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896023700101;FIGATIL 20 DRAG;CATARINENSE;LIBERADOS;13,9;2;24,94;24,94;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891721001970;FLORATIL PED 6ENV 1G MERCK;MERCK;ETICOS;20,09;3;78,06;78,06;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896112141426;FUROSEMIDA 40MG 20 COMP TEUTO;TEUTO;SIMILARES;4,35;4;22,6;22,6;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896622300450;GASTROL SUSP 250 ML LUPER;LUPER;SIMILARES;17;1;21,38;21,38;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7897322702070;GINGILONE POM 10 G;ALLERGAN-FRUNT;ETICOS;8,96;1;12,05;12,05;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896714200071;GLIONIL 30 COMP NEO QUIM;NEO QUIMICA;SIMILARES;5,12;1;6,65;6,65;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896331700404;GOTAS PRECI0SAS 30ML HERTZ;HERTZ;SIMILARES;17,4;6;131,7;131,7;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7897572000896;GRACIAL 22 COMP;ORGANON;ETICOS;23,14;1;31,14;31,14;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896116861436;GYNERA 21 DRAG;SCHERING;ETICOS;19,5;2;52,6;52,6;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891104196651;HEMOVIRTU,S POM 50 G;VIRTUS;ETICOS;14,28;1;18,49;18,49;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891058018382;HEXOMEDINE COLUT 50ML;SANOFI;ETICOS;26,64;3;103,29;99,85;3,44
MR WK FCIA LTDA ME;15786984000155;2;2013;7896641800689;HIDRAFIX FRAMBOESA 2X25 ML;BYK QUIM;ETICOS;5,34;1;6,9;6,9;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896004812281;HIDROCORTE CR 20G LEGRAND;;SIMILARES;20,33;1;25,42;25,42;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896004701288;HIDROXIDO ALUMINIO 240ML;EMS;GENERICOS;6,35;1;8,43;8,43;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896112140467;HIPODERME POM 45G TEUTO;;SIMILARES;6,99;6;55,8;55,8;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7897411610101;HIRUDOID 500 GEL 40 G;LUITPOLD;ETICOS;14,79;1;19,15;17,24;1,92
MR WK FCIA LTDA ME;15786984000155;2;2013;7897411610132;HIRUDOID POM 40 G;SANKIO-LUITPOLD;ETICOS;13,28;3;51,6;51,6;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896714219318;HISTAMIN LIQ 100ML;NEO QUIMICA;SIMILARES;7,69;8;76,88;75,44;1,44
MR WK FCIA LTDA ME;15786984000155;2;2013;7896714219301;HISTAMIN 2MG 20 COMP NEO QUIM;NEO QUIMICA;SIMILARES;4,97;14;87,08;87,08;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896212478750;IMOSEC 12 COMP;JANSSEN;ETICOS;4,86;1;6,26;6,26;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896714280172;ITRACONAZOL 100MG 4CAPS NEO QU;;SIMILARES;24,4;1;31,72;25,38;6,34
MR WK FCIA LTDA ME;15786984000155;2;2013;7891010020927;KY GEL;JOHNSON;ETICOS;8,85;2;28;28;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896548113059;LACRIMA PLUS C/15 ML;ALCON;ETICOS;11,47;3;44,58;44,58;0
MR WK FCIA LTDA ME;15786984000155;2;2013;5755;LACTO PURGA C/6;DORSAY;ETICOS;1,96;29;70,47;70,18;0,29
MR WK FCIA LTDA ME;15786984000155;2;2013;78905047;LEITE MAGNESIA PHILS 350ML HOR;GLAXO;ETICOS;4,97;2;12,84;12,84;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7898244720135;LIDOSPORIN 10 ML;GLAXO;ETICOS;6,73;2;17,42;17,42;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7895800420003;HALLS UVA VERDE LYPTUS C/10;;CONVENIENCIAS;0,5;12;12;12;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896016804915;LUFTAL GTS 15ML;BRISTOL;ETICOS;11,59;1;15,7;15,7;0
MR WK FCIA LTDA ME;15786984000155;2;2013;0;LUVAS SIMPLES LATEX PAR;;LIBERADOS;0,35;1;0,5;0,5;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891045039987;MAGNESIA BISURADA C/10 PAST;WHITEHAL;ETICOS;3,11;15;58,5;58,5;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896181900894;MALEATO DE ENALAPRIL 10MG 30CP;ACHE;GENERICOS;18,75;4;97,48;87,74;9,74
MR WK FCIA LTDA ME;15786984000155;2;2013;7891104195340;MARACUGINA LIQUIDO 150 ML;VIRTUS;ETICOS;26,48;2;64,96;64,96;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896714273006;MASSAGEOL AE 90G NEO QUIMICA;NEO QUIMICA;SIMILARES;20,91;6;159,72;157,06;2,66
MR WK FCIA LTDA ME;15786984000155;2;2013;7896714230504;MASSAGEOL POM 30 G NEO-QUIM;NEO QUIMICA;SIMILARES;9,64;11;130,13;126,94;3,19
MR WK FCIA LTDA ME;15786984000155;2;2013;7891045006248;MATERNA 30 DRAG;WYETH;ETICOS;27,06;1;34,98;34,98;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896548111727;MAXIDEX COLIRIO 5ML;ALCON;ETICOS;4,45;1;5,98;5,98;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896548111987;MAXITROL COLIRIO 5 ML;ALCON;ETICOS;9,22;1;12,4;12,4;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896094904156;MELHORAL AD 8 COMP;DM INDUSTRIA FARMACEUTICA;ETICOS;3,31;2;8,14;8,14;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896094904125;MELHORAL INF 8 COMP;DORSAY;ETICOS;2,17;1;2,66;2,66;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7897572000100;MERCILON 21 COMP;ORGANON;ETICOS;22,88;1;30,79;30,79;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891106904537;MESIGYNA 1 SERINGA 1ML;SCHERING;ETICOS;16,63;1;22,38;22,38;0
MR WK FCIA LTDA ME;15786984000155;2;2013;20800750165;METAMUCIL LARANJA S/AC 10X5,85;PROCTER;ETICOS;16,08;1;19,44;19,44;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896261002487;METHERGIN 12 DRAG;FARMASA;ETICOS;4,77;1;6,41;6,41;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891142158130;METICORTEN  5MG 20 COMP;SCHERIN PLOUGH;ETICOS;8,96;1;11,65;11,65;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896112143673;MICONAX CR 80G TEUTO;;SIMILARES;20,16;1;25,22;25,22;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896112143574;MICONAX LC 2% 30ML TEUTO;;SIMILARES;6,92;1;8,67;8,67;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7897572000230;MICRODIOL 21 COMP;ORGANON;ETICOS;18,31;1;24,64;19,71;4,93
MR WK FCIA LTDA ME;15786984000155;2;2013;7896116860217;MICROVLAR 21 DRAG;SCHERING;ETICOS;4,12;5;27,8;27,8;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7897316802014;MIRABEL COL.10ML;ALLERGAN-FRUNT;ETICOS;5,11;1;6,62;6,62;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891000011096;CHOC BARRA NESTLE CLASSIC CAJU;;NESTLE;3,16;2;8,98;8,98;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896472502721;MULTIGRIP CHA ENV C/ 5 G;MULTILAB;SIMILARES;0,48;10;18,5;18,5;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891317427320;MUD CREME 10G;EUROFARMA;ETICOS;8,06;1;9,31;9,31;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896269900983;NARAMIG 2,5MG 4 COMP;GLAXO;ETICOS;10,31;3;41,61;41,61;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896004714578;NARIDRIN 12HS AD 30ML EMS;EMS;SIMILARES;14,99;4;77,6;74,69;2,91
MR WK FCIA LTDA ME;15786984000155;2;2013;7896004803456;NARIDRIN AD 15ML EMS;EMS;SIMILARES;9,35;11;132,88;131,07;1,81
MR WK FCIA LTDA ME;15786984000155;2;2013;7896641802850;NENE-DENT GEL 10 G;NYCOMED;ETICOS;6,37;3;24,72;23,9;0,82
MR WK FCIA LTDA ME;15786984000155;2;2013;7896714210025;NEOTAFLAN 50MG 20CP;NEO QUIMICA;SIMILARES;9,36;8;93,84;93,84;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896714222394;EPICITRIN PMD 10 G;NEO QUIMICA;SIMILARES;7,59;13;123,24;123,24;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896641804663;NEOSALDINA GTS 15 ML;NYCOMED;ETICOS;9,57;2;23,96;23,96;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896714219295;NEOTOSS XPE AD 100ML;NEO QUIMICA;SIMILARES;8,76;2;22,62;20,92;1,7
MR WK FCIA LTDA ME;15786984000155;2;2013;7896004811574;NEOTRICIN POM 15G LEGRAND;;SIMILARES;7,59;6;56,88;56,88;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896116860248;NEOVLAR 21 DRAG;EMS;ETICOS;3,7;5;24,95;24,95;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896714270074;NEOSULIDA GTS 15ML;;SIMILARES;13,08;2;32,12;32,12;0
